SiteCode,IWI,AWA,MWA,AWM,MWM,AWI,Species,LifeHistory,Life.stage,Start,End,Thresh.hi,Thresh.lo,year
VAL,0.796333333333333,1.37420833333333,2.28822023809524,1.50419952749141,2.60445833333333,1.24392160652921,Chinook,fall_outmigrants,rearing,2001-04-15,2001-10-31,18,9,2001
MAR,0.755875,1.35661878148279,2.70102380952381,1.52253586769759,2.98741666666667,1.19976680860601,Chinook,fall_outmigrants,rearing,2002-04-15,2002-10-31,18,9,2002
STH,1.62416666666667,2.37161429185076,3.10968452380952,2.5184295532646,3.20045833333333,2.21978243127148,Chinook,fall_outmigrants,rearing,2002-04-15,2002-10-31,18,9,2002
VAL,0.645916666666667,1.26189586401571,2.32697619047619,1.41173346219931,2.4375,1.11225644329897,Chinook,fall_outmigrants,rearing,2002-04-15,2002-10-31,18,9,2002
SEC,1.25375,2.30935346097202,4.37205952380952,2.50347508591065,4.5425,2.12791838487973,Chinook,fall_outmigrants,rearing,2002-04-15,2002-10-31,18,9,2002
SFS,0.129708333333333,1.29857931394207,2.73177976190476,1.46765936426117,2.84758333333333,1.14284686426117,Chinook,fall_outmigrants,rearing,2002-04-15,2002-10-31,18,9,2002
STH,0.963083333333333,2.07808455226045,3.50977380952381,2.23108505154639,3.79541666666667,1.9217778819119,Chinook,fall_outmigrants,rearing,2003-04-15,2003-10-31,18,9,2003
VAL,0.654416666666667,1.69493753068238,3.32032738095238,1.84541172680412,3.57495833333333,1.5382154209622,Chinook,fall_outmigrants,rearing,2003-04-15,2003-10-31,18,9,2003
SEC,1.00616666666667,2.23335794059892,5.08358333333333,2.43394394329897,5.23783333333333,2.03665786082474,Chinook,fall_outmigrants,rearing,2003-04-15,2003-10-31,18,9,2003
SFS,0.579125,1.46825242390771,3.50558333333333,1.64131164089347,3.82741666666667,1.29448195876289,Chinook,fall_outmigrants,rearing,2003-04-15,2003-10-31,18,9,2003
MAR,0.451041666666667,1.58556973684211,2.61851190476191,1.73413070175439,2.74429166666667,1.43189407894737,Chinook,fall_outmigrants,rearing,2004-04-15,2004-10-31,18,9,2004
STH,1.124,1.91260465758468,2.4447380952381,2.04155476804124,2.54641666666667,1.77161533505155,Chinook,fall_outmigrants,rearing,2004-04-15,2004-10-31,18,9,2004
VAL,0.622416666666667,1.5544579958272,2.177,1.69853264604811,2.317875,1.40346756872852,Chinook,fall_outmigrants,rearing,2004-04-15,2004-10-31,18,9,2004
SFS,0.242875,1.3274609375,2.29969047619048,1.48183875868056,2.436375,1.17255013020833,Chinook,fall_outmigrants,rearing,2004-04-15,2004-10-31,18,9,2004
MAR,0.497375,1.25767709867452,2.57357142857143,1.40378157216495,2.68695833333333,1.09829768041237,Chinook,fall_outmigrants,rearing,2005-04-15,2005-10-31,18,9,2005
STH,1.05741666666667,1.69436990672558,2.60073214285714,1.83085266323024,2.723875,1.53366430412371,Chinook,fall_outmigrants,rearing,2005-04-15,2005-10-31,18,9,2005
VAL,0.360166666666667,1.17217511928679,2.32698214285714,1.32273534028127,2.47566666666667,1.00502940105475,Chinook,fall_outmigrants,rearing,2005-04-15,2005-10-31,18,9,2005
SFS,0.217791666666667,1.06973407584683,2.69533333333333,1.24105262027491,3.14420833333333,0.888221864261169,Chinook,fall_outmigrants,rearing,2005-04-15,2005-10-31,18,9,2005
STH,1.12625,2.03835173020648,3.44184523809524,2.23467189514396,3.69208333333333,1.83551803108437,Chinook,fall_outmigrants,rearing,2006-04-15,2006-10-31,18,9,2006
VAL,0.959083333333333,2.10848567133039,3.66932738095238,2.28375987972509,3.88408333333333,1.92350150343643,Chinook,fall_outmigrants,rearing,2006-04-15,2006-10-31,18,9,2006
SFS,0.821375,1.8207813820604,3.77764285714286,2.02311656746032,4.06020833333333,1.62426959325397,Chinook,fall_outmigrants,rearing,2006-04-15,2006-10-31,18,9,2006
MAR,0.338541666666667,1.24245254472159,2.45764285714286,1.38926962081129,2.61520833333333,1.08832231040564,Chinook,fall_outmigrants,rearing,2007-04-15,2007-10-31,18,9,2007
SFS,1.11729166666667,1.78426292128236,2.79865476190476,1.93691731099656,2.95404166666667,1.62650475310025,Chinook,fall_outmigrants,rearing,2007-04-15,2007-10-31,18,9,2007
BIL,0.470208333333333,1.41157338290538,2.88276785714286,1.60044173016585,3.17525,1.22000708762887,Chinook,fall_outmigrants,rearing,2007-04-15,2007-10-31,18,9,2007
MAR,0.653,1.730905596999,3.50697619047619,1.91118256013746,3.70954166666667,1.5374454467354,Chinook,fall_outmigrants,rearing,2008-04-15,2008-10-31,18,9,2008
STH,1.0785,2.09698606219718,3.25302380952381,2.26493707044674,3.359375,1.91875429553265,Chinook,fall_outmigrants,rearing,2008-04-15,2008-10-31,18,9,2008
VAL,0.92625,2.08147726435935,3.4638630952381,2.25239390034364,3.6595,1.89385567010309,Chinook,fall_outmigrants,rearing,2008-04-15,2008-10-31,18,9,2008
SFS,1.04270833333333,2.33840911880216,3.68989285714286,2.57472615979381,3.99775,2.09192998281787,Chinook,fall_outmigrants,rearing,2008-04-15,2008-10-31,18,9,2008
BIL,1.63025,2.91418361639493,4.58919047619048,3.15736236413043,5.7595,2.67818151041667,Chinook,fall_outmigrants,rearing,2008-04-15,2008-10-31,18,9,2008
MAR,0.543791666666667,1.60554182007855,3.27547023809524,1.76938724226804,3.36195833333333,1.42816215635739,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
STH,0.963833333333333,1.92536819358178,3.11844642857143,2.07734125905797,3.221,1.75857019927536,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
VAL,0.801375,1.84544200630723,3.17016071428571,2.01733011168385,3.21208333333333,1.66550745181533,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
SEC,0.362875,1.74055475470107,4.19994047619048,1.98269265463918,4.41358333333333,1.50513122852234,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
BIL,2.466,3.53996106673283,5.86400595238095,3.79337400082175,6.2665,3.29354574742268,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
BVC,2.73475,3.81440213716696,5.99502380952381,4.01247079037801,6.25216666666667,3.61522530068729,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
SUL,0.66725,1.9203897275405,4.0143630952381,2.12295403780069,4.15591666666667,1.71574054982818,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
BIU,1.40245833333333,2.38571072655867,3.95632738095238,2.59051696735395,4.21933333333333,2.17737800687285,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
CHA,0.403875,1.51731291487908,3.27904761904762,1.70159220454206,3.3865,1.31530369415808,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
WFC,0.788208333333333,2.15183474472263,4.17640476190476,2.35745274914089,4.28520833333333,1.94472079037801,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
HER,0.262625,1.61597570513679,2.84420238095238,1.78502620274914,3.00958333333333,1.433327104811,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
CAM,0.293083333333333,1.8137849834873,4.46145833333333,2.0847378553577,5.36104166666667,1.56708354810997,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
LOO,1.01016666666667,2.1015148474807,3.21375595238095,2.28356019603249,3.321375,1.91130633005311,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
CHC,0.001,0.958036559574488,2.16314285714286,1.09737485286055,2.21475,0.808008433845029,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
LAK,0.574958333333333,1.77619240651213,3.83875,2.00346842783505,4.234375,1.55887371134021,Chinook,fall_outmigrants,rearing,2009-04-15,2009-10-31,18,9,2009
MAR,0.504583333333333,1.52778017945188,3.58658928571429,1.74219083370686,4.18708333333333,1.33189475945017,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
STH,0.885541666666667,1.77964532526368,3.35970833333333,1.96974971985657,3.576,1.59337987449574,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
VAL,0.646958333333333,1.70356446252862,3.64424404761905,1.92797601838808,4.27554166666667,1.49716988831615,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
SFS,0.42925,1.37804365701906,3.58908333333333,1.62172819550276,4.36333333333333,1.15670532646048,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
BVC,2.7005,3.63022198699067,5.99551785714286,3.87417847938144,6.600125,3.40684063573883,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
SUL,0.733583333333333,1.69829964408444,3.83035119047619,1.92483290378007,4.378125,1.4803404209622,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
BIU,1.36170833333333,2.30054160530192,4.2407380952381,2.53204059278351,4.73641666666667,2.08395124570447,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
CHA,0.201916666666667,1.29760819939809,3.01717857142857,1.5171699816973,3.47133333333333,1.09500902061856,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
WFC,0.160666666666667,1.51083121624939,3.51053571428571,1.74387908075601,3.8045,1.2915345790378,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
HER,0.942541666666667,1.65097013137393,2.34901785714286,1.8159111291648,2.46566666666667,1.47769179553265,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
CAM,0.80375,1.71779911411612,3.81300595238095,1.9563975124961,4.09508333333333,1.48830240549828,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
LOO,1.70083333333333,2.55630707188747,4.17755952380952,2.76301181271478,4.73291666666667,2.36298775773196,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
LAK,0.74175,1.59107265586647,3.3763869047619,1.80559729381443,3.82795833333333,1.39259514604811,Chinook,fall_outmigrants,rearing,2010-04-15,2010-10-31,18,9,2010
MAR,0.677958333333333,1.84550390568599,3.51417857142857,2.03322797907823,3.70608333333333,1.65220456842531,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
STH,1.12208333333333,1.87550046565018,3.03185714285714,2.03199933040226,3.11341666666667,1.70948367697595,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
VAL,0.773583333333333,1.91732624570447,3.21833928571429,2.10108827319588,3.31345833333333,1.73043578178694,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
SEC,0.538583333333333,2.37216454958272,4.63166666666667,2.62075107388316,4.8275,2.12612972508591,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
SFS,0.870791666666667,1.70611616191701,2.91528756285123,1.91611111422382,3.12519047619048,1.4914358191394,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
BIL,2.79270833333333,4.13968348060874,6.28327380952381,4.43303178694158,6.88170833333333,3.87281421821306,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
SUL,0.38075,1.90364043323515,4.22997023809524,2.11835824742268,4.41458333333333,1.68043277491409,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
BIU,1.20545833333333,2.36490890402553,3.81188095238095,2.57350085910653,4.04058333333333,2.14942783505155,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
CHA,0.0555555555555556,1.03159207987941,2.70792261904762,1.23105946180556,2.92841666666667,0.843540035022848,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
WFC,0.403,1.48325355915562,3.08567261904762,1.67132538659794,3.22975,1.28664432989691,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
HER,0.881625,1.69645494626582,2.66068452380952,1.84613659793814,2.75966666666667,1.53019794001195,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
CAM,1.16875,2.85375555351006,5.50549404761905,3.15884901202749,5.82095833333333,2.56725236254296,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
LAK,0.501125,1.81484832585799,3.75416666666667,2.03752815526398,4.05866666666667,1.5928859731334,Chinook,fall_outmigrants,rearing,2011-04-15,2011-10-31,18,9,2011
MAR,0.016,1.94850215783971,3.16553571428571,2.12878321689953,3.28754166666667,1.77374391217565,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
STH,0.0397142857142857,1.81711283335333,2.7816130952381,1.98668945374801,3.15566666666667,1.66009455930281,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
VAL,0.004,1.97755712210577,2.9391130952381,2.15089559155384,3.3525,1.81457023694391,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
SEC,0.553875,1.83369857544141,3.47438690476191,2.03624531835206,3.860625,1.64349344569288,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
BIU,1.14008333333333,2.11872155743741,3.29833928571429,2.36498883161512,3.67020833333333,1.89814432989691,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
CHA,0.0574583333333333,0.935689523715568,1.94826785714286,1.11899767650734,2.15391666666667,0.761830908104375,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
WFC,0.0409230769230769,1.27936920022665,2.72375595238095,1.46049360670194,3.02020833333333,1.10545828730353,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
HER,0.890041666666667,1.47342893161299,1.9542380952381,1.60645060137457,2.09229166666667,1.3409381443299,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
CAM,1.70008333333333,2.63325389666176,4.238625,2.85281099656357,5.26879166666667,2.43831400343643,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
LAK,0.467958333333333,1.53494765586647,2.61282142857143,1.71147701890034,2.887375,1.37003350515464,Chinook,fall_outmigrants,rearing,2012-04-15,2012-10-31,18,9,2012
MAR,0.01525,0.676494944262043,1.764875,0.852132059614523,1.87204166666667,0.504472877774026,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
VAL,0.0176666666666667,0.745221606593889,1.75711904761905,0.938162862318841,2.403375,0.56366176595144,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
SFS,0.787875,1.76537693298969,3.513625,1.96675193298969,3.75641666666667,1.59115184707904,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
BVC,2.54166666666667,3.37901525581098,5.29921428571429,3.5736014119229,5.41220833333333,3.20265660951741,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
BIU,1.136875,1.94560959744723,3.57760714285714,2.1669720790378,3.87466666666667,1.74134192439863,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
CHA,0.0993333333333333,0.983894860835414,2.86566071428571,1.15656465710444,3.13079166666667,0.812407870162857,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
HER,0.777416666666667,1.36995910039273,1.78383333333333,1.51690936426117,1.86858333333333,1.21877985395189,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
CAM,1.46604166666667,2.41438552405498,4.31591071428571,2.59853651202749,4.67941666666667,2.23441795532646,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
LOO,0.230875,1.22791338365243,2.1373869047619,1.41422637457045,2.38041666666667,1.04027641752577,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
LAK,0.420666666666667,1.4759859167894,3.19926190476191,1.67278565292096,3.62141666666667,1.29160953608247,Chinook,fall_outmigrants,rearing,2013-04-15,2013-10-31,18,9,2013
MAR,0.198375,1.14702598797251,2.75967261904762,1.29405927835052,2.83404166666667,0.992362542955327,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
STH,1.20741666666667,1.8474875736377,2.61717857142857,1.97383161512027,2.76870833333333,1.7174235395189,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
VAL,0.911,1.76586346342661,2.9777380952381,1.90846241408935,3.078125,1.61770038659794,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
SEC,0.222125,1.74549067255768,4.09294047619048,1.93642998281787,4.247875,1.56081035223368,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
SFS,0.977291666666667,1.89411824987727,3.85748214285714,2.06575236254296,4.11995833333333,1.73244329896907,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
BVC,2.76391666666667,3.60947717231222,5.82675595238095,3.78654639175258,5.957625,3.42909514604811,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
BIU,1.18020833333333,2.00573955465198,3.46099404761905,2.17864831727178,3.57691666666667,1.83057388316151,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
CHA,0.423583333333333,1.18747999242279,2.62305357142857,1.34841902920962,2.71225,1.03514500224115,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
HER,0.8945,1.43957418998527,1.97964285714286,1.58369243986254,2.10158333333333,1.29373969072165,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
CAM,2.20420833333333,3.13316037498538,5.20777976190476,3.34864203521704,5.37125,2.92141230548731,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
LOO,0.821666666666667,1.89457621502209,3.68555357142857,2.06111748281787,3.89416666666667,1.72652598797251,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
LAK,0.596666666666667,1.37315743127148,2.88149404761905,1.53417096219931,3.07645833333333,1.21588402061856,Chinook,fall_outmigrants,rearing,2014-04-15,2014-10-31,18,9,2014
MAR,0.0620476190476191,0.707882246396216,1.42335119047619,0.815545953608248,1.48429166666667,0.585482739768822,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
STH,0.836375,1.48618035100638,2.00314285714286,1.6031954467354,2.06558333333333,1.35706743986254,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
VAL,0.489125,1.2749482425135,2.128,1.39434969072165,2.210125,1.14869587628866,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
SEC,0.0325,0.884446644682077,2.12104761904762,1.00939110824742,2.171125,0.742095883759151,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
SFS,0.850416666666667,1.61062828301424,2.70010714285714,1.72941172680412,2.73820833333333,1.47311060996564,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
BVC,2.61116666666667,3.22295526509573,4.09679761904762,3.33863810137457,4.21558333333333,3.09398109965636,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
SUL,0.212416666666667,0.886379510309278,1.7996369047619,0.9958889604811,1.85629166666667,0.761865764604811,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
BIU,0.9525,1.70422640525282,2.69074404761905,1.82872250859107,2.79579166666667,1.56614991408935,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
CHA,0.190583333333333,0.869028018345393,1.71894047619048,0.992699312714777,1.93433333333333,0.734603130135963,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
HER,0.970125,1.53907380763566,2.06340476190476,1.6655631443299,2.15120833333333,1.40629553264605,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
CAM,1.61220833333333,2.82979396784487,4.09679761904762,2.9595133161512,4.21558333333333,2.68501975945017,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
LOO,0.818208333333333,1.55090571305842,2.37416071428571,1.66285287800687,2.43608333333333,1.42264024914089,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
LAK,0.209083333333333,1.02034244599902,1.93807738095238,1.13801030927835,1.99808333333333,0.88421456185567,Chinook,fall_outmigrants,rearing,2015-04-15,2015-10-31,18,9,2015
MAR,0.212916666666667,0.983687929553265,2.24213095238095,1.12510824742268,2.27820833333333,0.84379660652921,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
STH,1.02983333333333,1.55931354320079,2.32741071428571,1.70152534364261,2.43729166666667,1.42500751718213,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
VAL,0.763666666666667,1.44926297864507,2.35079761904762,1.5905425257732,2.486,1.31157173539519,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
SEC,0.0695909090909091,1.165964773843,2.85563095238095,1.36039372461731,3.02304166666667,0.989726862699156,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
SFS,0.757125,1.72875622852234,3.42147619047619,1.89398088487973,3.57695833333333,1.58076567869416,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
BVC,2.72891666666667,3.55043700908198,5.44510119047619,3.71489110824742,5.70595833333333,3.39626267182131,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
SUL,0.400375,1.04132204488698,2.18853571428571,1.18821069587629,2.34925,0.904490521813835,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
BIU,1.17395833333333,1.8514059891998,3.06777976190476,2.0400904209622,3.232375,1.67523303264605,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
CHA,0.0315,0.927935142720345,2.21024404761905,1.08836173987748,2.41458333333333,0.787641821752131,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
WFC,0.808458333333333,1.49901434867986,2.76721428571429,1.66272811145973,3.10795833333333,1.35567740549828,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
LOO,0.819458333333333,1.66183686180658,2.85221428571429,1.82662220790378,2.967,1.51016838487973,Chinook,fall_outmigrants,rearing,2016-04-15,2016-10-31,18,9,2016
MAR,0.26275,1.53492974936501,3.45027380952381,1.75290506872852,3.569125,1.31808202599731,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
STH,0.653666666666667,2.28494524263089,4.10138690476191,2.50872991371582,4.239,2.0640269497983,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
VAL,0.752,2.06748270447803,3.6489880952381,2.26619287875392,3.79733333333333,1.86888360040341,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
SEC,0.0516666666666667,1.4448704004329,3.79152380952381,1.67701815953654,4.00741666666667,1.21873507130125,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
SFS,0.726625,2.13328480982263,4.45585714285714,2.35145279583147,4.60591666666667,1.92280154639175,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
BVC,2.77104166666667,4.08569221708181,6.62114285714286,4.32250824555506,6.68554166666667,3.85531335910653,Chinook,fall_outmigrants,rearing,2017-04-15,2017-10-31,18,9,2017
