DateDetected,Length,InstreamMonitor
8/30/16,63,Valley
8/30/16,71,Valley
8/31/16,74,Valley
9/3/16,64,Valley
9/4/16,71,Valley
9/4/16,64,Valley
9/4/16,61,Valley
9/5/16,63,Valley
9/5/16,74,Valley
9/5/16,63,Valley
9/5/16,67,Valley
9/7/16,66,Valley
9/9/16,70,Valley
9/10/16,62,Valley
9/14/16,65,Valley
9/15/16,62,Valley
9/15/16,68,Valley
9/15/16,68,Valley
9/17/16,69,Valley
9/18/16,63,Valley
9/19/16,57,Valley
9/20/16,67,Valley
9/21/16,60,Valley
9/21/16,79,Valley
9/22/16,73,Valley
9/22/16,76,Valley
9/22/16,68,Valley
9/22/16,57,Valley
9/22/16,78,Valley
9/23/16,79,Valley
9/23/16,72,Valley
9/23/16,75,Valley
9/24/16,66,Valley
9/24/16,65,Valley
9/27/16,72,Valley
9/27/16,61,Valley
9/30/16,68,Valley
10/3/16,59,Valley
10/3/16,63,Valley
10/3/16,57,Valley
10/3/16,72,Valley
10/3/16,63,Valley
10/3/16,67,Valley
10/4/16,65,Valley
10/5/16,65,Valley
10/5/16,66,Valley
10/6/16,66,Valley
10/8/16,67,Valley
10/8/16,81,Valley
10/10/16,77,Valley
10/12/16,66,Valley
10/13/16,60,Valley
10/13/16,74,Valley
10/14/16,77,Valley
10/14/16,65,Valley
10/14/16,62,Valley
10/14/16,67,Valley
10/14/16,64,Valley
10/14/16,62,Valley
10/14/16,62,Valley
10/14/16,68,Valley
10/14/16,71,Valley
10/14/16,66,Valley
10/14/16,68,Valley
10/14/16,81,Valley
10/14/16,66,Valley
10/14/16,69,Valley
10/14/16,65,Valley
10/14/16,60,Valley
10/14/16,63,Valley
10/14/16,69,Valley
10/14/16,75,Valley
10/14/16,65,Valley
10/14/16,68,Valley
10/14/16,75,Valley
10/14/16,60,Valley
10/14/16,60,Valley
10/14/16,73,Valley
10/14/16,73,Valley
10/14/16,70,Valley
10/14/16,71,Valley
10/14/16,61,Valley
10/14/16,73,Valley
10/14/16,69,Valley
10/15/16,69,Valley
10/15/16,73,Valley
10/15/16,60,Valley
10/15/16,70,Valley
10/15/16,63,Valley
10/15/16,68,Valley
10/15/16,73,Valley
10/15/16,84,Valley
10/15/16,76,Valley
10/15/16,70,Valley
10/15/16,75,Valley
10/15/16,60,Valley
10/15/16,67,Valley
10/15/16,65,Valley
10/15/16,72,Valley
10/15/16,61,Valley
10/15/16,59,Valley
10/15/16,73,Valley
10/15/16,75,Valley
10/15/16,68,Valley
10/15/16,76,Valley
10/15/16,71,Valley
10/15/16,61,Valley
10/15/16,72,Valley
10/15/16,66,Valley
10/15/16,58,Valley
10/15/16,73,Valley
10/15/16,74,Valley
10/15/16,66,Valley
10/16/16,74,Valley
10/16/16,61,Valley
10/16/16,67,Valley
10/16/16,72,Valley
10/16/16,67,Valley
10/16/16,77,Valley
10/16/16,65,Valley
10/16/16,71,Valley
10/16/16,60,Valley
10/16/16,68,Valley
10/16/16,68,Valley
10/16/16,72,Valley
10/16/16,72,Valley
10/16/16,74,Valley
10/16/16,70,Valley
10/16/16,70,Valley
10/17/16,68,Valley
10/17/16,70,Valley
10/17/16,70,Valley
10/17/16,64,Valley
10/17/16,70,Valley
10/17/16,73,Valley
10/17/16,76,Valley
10/17/16,65,Valley
10/17/16,67,Valley
10/17/16,64,Valley
10/17/16,62,Valley
10/18/16,62,Valley
10/18/16,67,Valley
10/19/16,62,Valley
10/19/16,64,Valley
10/19/16,66,Valley
10/19/16,68,Valley
10/19/16,64,Valley
10/19/16,67,Valley
10/19/16,55,Valley
10/19/16,77,Valley
10/20/16,64,Valley
10/21/16,64,Valley
10/21/16,72,Valley
10/22/16,66,Valley
10/23/16,62,Valley
10/23/16,71,Valley
10/24/16,81,Valley
10/25/16,72,Valley
10/26/16,62,Valley
10/26/16,68,Valley
10/27/16,72,Valley
10/28/16,65,Valley
10/28/16,66,Valley
10/30/16,67,Valley
10/30/16,70,Valley
10/31/16,61,Valley
10/31/16,62,Valley
11/1/16,68,Valley
11/2/16,65,Valley
11/2/16,60,Valley
11/2/16,71,Valley
11/3/16,74,Valley
11/3/16,70,Valley
11/5/16,64,Valley
11/5/16,55,Valley
11/5/16,66,Valley
11/5/16,67,Valley
11/5/16,68,Valley
11/5/16,65,Valley
11/5/16,75,Valley
11/5/16,70,Valley
11/5/16,58,Valley
11/5/16,69,Valley
11/6/16,63,Valley
11/7/16,72,Valley
11/8/16,69,Valley
11/8/16,58,Valley
11/8/16,80,Valley
11/8/16,62,Valley
11/9/16,62,Valley
11/10/16,73,Valley
11/10/16,67,Valley
11/10/16,63,Valley
11/10/16,81,Valley
11/10/16,76,Valley
11/12/16,63,Valley
11/13/16,72,Valley
11/14/16,69,Valley
11/15/16,68,Valley
11/15/16,78,Valley
11/15/16,65,Valley
11/15/16,58,Valley
11/15/16,72,Valley
11/16/16,72,Valley
11/16/16,79,Valley
11/16/16,63,Valley
11/16/16,73,Valley
11/17/16,64,Valley
11/19/16,68,Valley
11/19/16,61,Valley
11/19/16,63,Valley
11/19/16,65,Valley
11/20/16,65,Valley
11/20/16,69,Valley
11/22/16,76,Valley
11/22/16,56,Valley
11/22/16,64,Valley
11/24/16,64,Valley
11/24/16,81,Valley
11/24/16,67,Valley
11/24/16,66,Valley
11/25/16,63,Valley
11/25/16,68,Valley
11/27/16,70,Valley
11/27/16,71,Valley
11/28/16,63,Valley
11/29/16,76,Valley
11/29/16,74,Valley
11/29/16,61,Valley
11/29/16,71,Valley
12/8/16,66,Valley
12/10/16,66,Valley
12/10/16,82,Valley
12/12/16,66,Valley
12/20/16,79,Valley
12/23/16,65,Valley
12/24/16,71,Valley
12/24/16,60,Valley
12/26/16,68,Valley
12/26/16,64,Valley
12/29/16,70,Valley
12/30/16,68,Valley
12/31/16,61,Valley
12/31/16,68,Valley
12/31/16,63,Valley
1/5/17,69,Valley
1/8/17,69,Valley
1/8/17,63,Valley
1/10/17,66,Valley
1/10/17,71,Valley
1/19/17,74,Valley
1/21/17,65,Valley
1/21/17,59,Valley
1/24/17,62,Valley
1/28/17,67,Valley
1/28/17,66,Valley
2/3/17,63,Valley
2/5/17,76,Valley
2/5/17,69,Valley
2/8/17,80,Valley
2/9/17,82,Valley
2/9/17,67,Valley
2/9/17,64,Valley
2/9/17,69,Valley
2/10/17,71,Valley
2/10/17,72,Valley
2/11/17,60,Valley
2/11/17,72,Valley
2/11/17,66,Valley
2/17/17,63,Valley
2/17/17,90,Valley
2/17/17,68,Valley
2/17/17,66,Valley
2/17/17,68,Valley
2/18/17,57,Valley
2/19/17,63,Valley
2/19/17,73,Valley
2/20/17,76,Valley
2/20/17,71,Valley
2/21/17,68,Valley
2/22/17,68,Valley
2/22/17,68,Valley
2/22/17,66,Valley
2/22/17,66,Valley
2/22/17,64,Valley
2/22/17,65,Valley
2/22/17,74,Valley
2/23/17,71,Valley
2/23/17,54,Valley
2/23/17,65,Valley
2/24/17,70,Valley
2/24/17,63,Valley
2/24/17,65,Valley
2/24/17,68,Valley
2/25/17,68,Valley
2/25/17,62,Valley
2/25/17,58,Valley
2/26/17,62,Valley
2/26/17,64,Valley
2/27/17,71,Valley
3/1/17,60,Valley
3/6/17,62,Valley
3/8/17,72,Valley
3/9/17,64,Valley
3/9/17,64,Valley
3/10/17,61,Valley
3/14/17,58,Valley
3/14/17,68,Valley
3/15/17,75,Valley
3/16/17,68,Valley
3/18/17,72,Valley
3/18/17,70,Valley
3/22/17,78,Valley
3/22/17,68,Valley
3/24/17,69,Valley
3/27/17,62,Valley
3/27/17,75,Valley
4/18/17,70,Valley
4/19/17,61,Valley
4/20/17,70,Valley
5/10/17,61,Valley
5/24/17,76,Valley
7/30/22,62,SFSalmon
7/30/22,90,SFSalmon
7/30/22,58,SFSalmon
7/30/22,60,SFSalmon
8/1/22,65,SFSalmon
8/1/22,60,SFSalmon
8/2/22,62,SFSalmon
9/22/22,64,SFSalmon
9/24/22,65,SFSalmon
10/2/22,59,SFSalmon
10/2/22,61,SFSalmon
10/2/22,59,SFSalmon
10/5/22,70,SFSalmon
10/16/22,65,SFSalmon
10/17/22,58,SFSalmon
10/17/22,64,SFSalmon
10/17/22,70,SFSalmon
10/17/22,95,SFSalmon
10/18/22,65,SFSalmon
10/18/22,60,SFSalmon
10/18/22,59,SFSalmon
10/19/22,62,SFSalmon
10/19/22,59,SFSalmon
10/20/22,63,SFSalmon
10/20/22,59,SFSalmon
10/21/22,59,SFSalmon
10/21/22,72,SFSalmon
10/21/22,57,SFSalmon
10/22/22,59,SFSalmon
10/22/22,62,SFSalmon
10/22/22,62,SFSalmon
10/22/22,65,SFSalmon
10/22/22,59,SFSalmon
10/23/22,94,SFSalmon
10/23/22,64,SFSalmon
10/23/22,64,SFSalmon
10/23/22,59,SFSalmon
10/23/22,64,SFSalmon
10/23/22,59,SFSalmon
10/23/22,64,SFSalmon
10/23/22,58,SFSalmon
10/23/22,60,SFSalmon
10/23/22,68,SFSalmon
10/23/22,57,SFSalmon
10/24/22,59,SFSalmon
10/24/22,56,SFSalmon
10/24/22,58,SFSalmon
10/24/22,85,SFSalmon
10/24/22,60,SFSalmon
10/24/22,84,SFSalmon
10/24/22,65,SFSalmon
10/24/22,59,SFSalmon
10/25/22,57,SFSalmon
10/25/22,57,SFSalmon
10/25/22,58,SFSalmon
10/25/22,65,SFSalmon
10/25/22,60,SFSalmon
10/25/22,61,SFSalmon
10/25/22,58,SFSalmon
10/25/22,59,SFSalmon
10/25/22,59,SFSalmon
10/25/22,65,SFSalmon
10/25/22,56,SFSalmon
10/25/22,65,SFSalmon
10/25/22,58,SFSalmon
10/26/22,64,SFSalmon
10/26/22,59,SFSalmon
10/26/22,59,SFSalmon
10/26/22,72,SFSalmon
10/26/22,56,SFSalmon
10/26/22,60,SFSalmon
10/26/22,66,SFSalmon
10/26/22,57,SFSalmon
10/26/22,59,SFSalmon
10/27/22,61,SFSalmon
10/27/22,64,SFSalmon
10/27/22,63,SFSalmon
10/27/22,62,SFSalmon
10/27/22,59,SFSalmon
10/27/22,63,SFSalmon
10/27/22,58,SFSalmon
10/28/22,54,SFSalmon
10/28/22,62,SFSalmon
10/29/22,58,SFSalmon
10/29/22,61,SFSalmon
10/30/22,69,SFSalmon
10/30/22,56,SFSalmon
10/30/22,66,SFSalmon
10/30/22,59,SFSalmon
10/31/22,64,SFSalmon
10/31/22,59,SFSalmon
10/31/22,64,SFSalmon
10/31/22,54,SFSalmon
10/31/22,65,SFSalmon
11/2/22,56,SFSalmon
11/3/22,63,SFSalmon
11/5/22,70,SFSalmon
11/5/22,72,SFSalmon
11/5/22,57,SFSalmon
11/10/22,68,SFSalmon
11/10/22,62,SFSalmon
11/11/22,59,SFSalmon
11/13/22,60,SFSalmon
11/13/22,63,SFSalmon
11/26/22,62,SFSalmon
11/29/22,61,SFSalmon
11/30/22,63,SFSalmon
12/2/22,61,SFSalmon
12/11/22,60,SFSalmon
12/12/22,75,SFSalmon
12/27/22,58,SFSalmon
1/12/23,70,SFSalmon
1/16/23,59,SFSalmon
1/20/23,62,SFSalmon
1/22/23,62,SFSalmon
1/23/23,53,SFSalmon
1/25/23,56,SFSalmon
1/26/23,59,SFSalmon
1/26/23,64,SFSalmon
2/20/23,57,SFSalmon
2/20/23,58,SFSalmon
2/21/23,58,SFSalmon
2/21/23,61,SFSalmon
3/15/23,58,SFSalmon
3/15/23,69,SFSalmon
3/16/23,55,SFSalmon
3/19/23,62,SFSalmon
3/19/23,86,SFSalmon
3/20/23,61,SFSalmon
3/20/23,56,SFSalmon
3/20/23,72,SFSalmon
3/20/23,58,SFSalmon
3/21/23,62,SFSalmon
3/21/23,59,SFSalmon
3/21/23,57,SFSalmon
3/21/23,73,SFSalmon
3/22/23,58,SFSalmon
3/22/23,61,SFSalmon
3/24/23,59,SFSalmon
3/26/23,60,SFSalmon
4/1/23,61,SFSalmon
4/8/23,62,SFSalmon
4/10/23,57,SFSalmon
4/10/23,58,SFSalmon
4/13/23,60,SFSalmon
4/15/23,62,SFSalmon
4/16/23,59,SFSalmon
4/16/23,58,SFSalmon
4/21/23,58,SFSalmon
5/11/23,62,SFSalmon
,57,SFSalmon
,70,SFSalmon
,65,SFSalmon
,63,SFSalmon
,54,SFSalmon
,57,SFSalmon
,63,SFSalmon
,92,SFSalmon
,62,SFSalmon
,61,SFSalmon
,87,SFSalmon
,57,SFSalmon
,62,SFSalmon
,60,SFSalmon
,61,SFSalmon
,62,SFSalmon
,61,SFSalmon
,57,SFSalmon
,61,SFSalmon
,65,SFSalmon
,62,SFSalmon
,57,SFSalmon
,63,SFSalmon
,61,SFSalmon
,57,SFSalmon
,56,SFSalmon
,57,SFSalmon
,58,SFSalmon
,74,SFSalmon
,59,SFSalmon
,62,SFSalmon
,64,SFSalmon
,60,SFSalmon
,59,SFSalmon
,58,SFSalmon
,55,SFSalmon
,71,SFSalmon
,62,SFSalmon
,68,SFSalmon
,64,SFSalmon
,58,SFSalmon
,56,SFSalmon
,59,SFSalmon
,62,SFSalmon
,64,SFSalmon
,61,SFSalmon
,61,SFSalmon
,60,SFSalmon
,55,SFSalmon
,60,SFSalmon
,66,SFSalmon
,56,SFSalmon
,55,SFSalmon
,59,SFSalmon
,60,SFSalmon
,56,SFSalmon
,57,SFSalmon
,59,SFSalmon
,70,SFSalmon
,59,SFSalmon
,61,SFSalmon
,68,SFSalmon
,55,SFSalmon
,62,SFSalmon
,66,SFSalmon
,60,SFSalmon
,56,SFSalmon
,62,SFSalmon
,63,SFSalmon
,61,SFSalmon
,55,SFSalmon
,55,SFSalmon
,55,SFSalmon
,59,SFSalmon
,55,SFSalmon
,55,SFSalmon
,58,SFSalmon
,57,SFSalmon
,59,SFSalmon
,59,SFSalmon
,66,SFSalmon
,57,SFSalmon
,62,SFSalmon
,64,SFSalmon
,65,SFSalmon
,58,SFSalmon
,70,SFSalmon
,56,SFSalmon
,61,SFSalmon
,62,SFSalmon
,57,SFSalmon
,64,SFSalmon
,67,SFSalmon
,60,SFSalmon
,58,SFSalmon
,55,SFSalmon
,56,SFSalmon
,61,SFSalmon
,70,SFSalmon
,58,SFSalmon
,63,SFSalmon
,59,SFSalmon
,62,SFSalmon
,63,SFSalmon
,56,SFSalmon
,58,SFSalmon
,58,SFSalmon
,56,SFSalmon
,61,SFSalmon
,61,SFSalmon
,60,SFSalmon
,65,SFSalmon
,55,SFSalmon
,61,SFSalmon
,57,SFSalmon
,62,SFSalmon
,55,SFSalmon
,61,SFSalmon
,58,SFSalmon
,58,SFSalmon
,57,SFSalmon
,55,SFSalmon
,59,SFSalmon
,57,SFSalmon
,62,SFSalmon
,60,SFSalmon
,58,SFSalmon
,70,SFSalmon
,55,SFSalmon
,64,SFSalmon
,60,SFSalmon
,73,SFSalmon
,55,SFSalmon
,64,SFSalmon
,57,SFSalmon
,63,SFSalmon
,62,SFSalmon
,57,SFSalmon
,55,SFSalmon
,57,SFSalmon
,60,SFSalmon
,68,SFSalmon
,66,SFSalmon
,66,SFSalmon
,61,SFSalmon
,61,SFSalmon
,67,SFSalmon
,76,SFSalmon
,61,SFSalmon
,63,SFSalmon
,58,SFSalmon
,63,SFSalmon
,69,SFSalmon
,67,SFSalmon
,64,SFSalmon
,65,SFSalmon
,60,SFSalmon
,65,SFSalmon
,69,SFSalmon
,60,SFSalmon
,66,SFSalmon
,64,SFSalmon
,67,SFSalmon
,72,SFSalmon
,62,SFSalmon
,62,SFSalmon
,66,SFSalmon
,66,SFSalmon
,60,SFSalmon
,61,SFSalmon
,58,SFSalmon
,72,SFSalmon
,72,SFSalmon
,60,SFSalmon
,56,SFSalmon
,61,SFSalmon
,59,SFSalmon
,73,SFSalmon
,62,SFSalmon
,60,SFSalmon
,59,SFSalmon
,59,SFSalmon
,59,SFSalmon
,68,SFSalmon
,60,SFSalmon
,62,SFSalmon
,72,SFSalmon
,59,SFSalmon
,76,SFSalmon
,69,SFSalmon
,60,SFSalmon
,68,SFSalmon
,68,SFSalmon
,59,SFSalmon
,54,SFSalmon
,60,SFSalmon
,57,SFSalmon
,60,SFSalmon
,63,SFSalmon
,60,SFSalmon
,58,SFSalmon
,61,SFSalmon
,64,SFSalmon
,64,SFSalmon
,59,SFSalmon
,70,SFSalmon
,58,SFSalmon
,63,SFSalmon
,55,SFSalmon
,61,SFSalmon
,64,SFSalmon
,57,SFSalmon
,57,SFSalmon
,56,SFSalmon
,68,SFSalmon
,59,SFSalmon
,59,SFSalmon
,59,SFSalmon
,60,SFSalmon
,59,SFSalmon
,66,SFSalmon
,62,SFSalmon
,61,SFSalmon
,71,SFSalmon
,67,SFSalmon
,61,SFSalmon
,59,SFSalmon
,75,SFSalmon
,55,SFSalmon
,63,SFSalmon
,59,SFSalmon
,58,SFSalmon
,57,SFSalmon
,64,SFSalmon
,64,SFSalmon
,59,SFSalmon
,54,SFSalmon
,72,SFSalmon
,55,SFSalmon
,65,SFSalmon
,75,SFSalmon
,62,SFSalmon
,62,SFSalmon
,65,SFSalmon
,56,SFSalmon
,56,SFSalmon
,64,SFSalmon
,57,SFSalmon
,68,SFSalmon
,60,SFSalmon
,55,SFSalmon
,65,SFSalmon
,59,SFSalmon
,70,SFSalmon
,59,SFSalmon
,56,SFSalmon
,56,SFSalmon
,57,SFSalmon
,58,SFSalmon
,57,SFSalmon
,58,SFSalmon
,56,SFSalmon
,59,SFSalmon
,58,SFSalmon
,59,SFSalmon
,57,SFSalmon
,59,SFSalmon
,61,SFSalmon
,63,SFSalmon
,59,SFSalmon
,64,SFSalmon
,59,SFSalmon
,57,SFSalmon
,70,SFSalmon
,56,SFSalmon
,54,SFSalmon
,54,SFSalmon
,58,SFSalmon
,61,SFSalmon
,58,SFSalmon
,58,SFSalmon
,55,SFSalmon
,71,SFSalmon
,64,SFSalmon
,57,SFSalmon
,55,SFSalmon
,63,SFSalmon
,61,SFSalmon
,57,SFSalmon
,76,SFSalmon
,57,SFSalmon
,55,SFSalmon
,58,SFSalmon
,55,SFSalmon
,56,SFSalmon
,64,SFSalmon
,64,SFSalmon
,63,SFSalmon
,64,SFSalmon
,63,SFSalmon
,56,SFSalmon
,55,SFSalmon
,58,SFSalmon
,60,SFSalmon
,65,SFSalmon
,59,SFSalmon
,57,SFSalmon
,56,SFSalmon
,58,SFSalmon
,64,SFSalmon
,61,SFSalmon
,57,SFSalmon
,70,SFSalmon
,57,SFSalmon
,63,SFSalmon
,62,SFSalmon
,56,SFSalmon
,61,SFSalmon
,59,SFSalmon
,56,SFSalmon
,67,SFSalmon
,60,SFSalmon
,62,SFSalmon
,62,SFSalmon
,61,SFSalmon
,61,SFSalmon
,61,SFSalmon
,56,SFSalmon
,59,SFSalmon
,75,SFSalmon
,71,SFSalmon
,54,SFSalmon
,63,SFSalmon
,60,SFSalmon
,57,SFSalmon
,64,SFSalmon
,64,SFSalmon
,64,SFSalmon
,54,SFSalmon
,55,SFSalmon
,61,SFSalmon
,55,SFSalmon
,64,SFSalmon
,68,SFSalmon
,59,SFSalmon
,60,SFSalmon
,64,SFSalmon
,85,SFSalmon
,57,SFSalmon
,65,SFSalmon
,61,SFSalmon
,55,SFSalmon
,62,SFSalmon
,55,SFSalmon
,56,SFSalmon
,62,SFSalmon
,60,SFSalmon
,65,SFSalmon
,58,SFSalmon
,61,SFSalmon
,56,SFSalmon
,61,SFSalmon
,59,SFSalmon
,54,SFSalmon
,61,SFSalmon
,64,SFSalmon
,56,SFSalmon
,58,SFSalmon
,57,SFSalmon
,59,SFSalmon
,61,SFSalmon
,57,SFSalmon
,57,SFSalmon
,57,SFSalmon
,57,SFSalmon
,61,SFSalmon
,66,SFSalmon
,63,SFSalmon
,54,SFSalmon
,60,SFSalmon
,55,SFSalmon
,61,SFSalmon
,58,SFSalmon
,55,SFSalmon
,59,SFSalmon
,61,SFSalmon
,56,SFSalmon
,58,SFSalmon
,57,SFSalmon
,58,SFSalmon
,74,SFSalmon
,57,SFSalmon
,62,SFSalmon
,63,SFSalmon
,54,SFSalmon
,61,SFSalmon
,54,SFSalmon
,59,SFSalmon
,57,SFSalmon
,60,SFSalmon
,62,SFSalmon
,57,SFSalmon
,57,SFSalmon
,62,SFSalmon
,58,SFSalmon
,57,SFSalmon
,60,SFSalmon
,68,SFSalmon
,57,SFSalmon
,60,SFSalmon
,58,SFSalmon
,65,SFSalmon
,59,SFSalmon
,58,SFSalmon
,64,SFSalmon
,69,SFSalmon
,55,SFSalmon
,58,SFSalmon
,58,SFSalmon
,59,SFSalmon
,66,SFSalmon
,59,SFSalmon
,55,SFSalmon
,74,SFSalmon
,69,SFSalmon
,64,SFSalmon
,60,SFSalmon
,58,SFSalmon
,64,SFSalmon
,63,SFSalmon
,65,SFSalmon
,61,SFSalmon
,58,SFSalmon
,57,SFSalmon
,59,SFSalmon
,67,SFSalmon
,63,SFSalmon
,62,SFSalmon
,65,SFSalmon
,60,SFSalmon
,64,SFSalmon
,61,SFSalmon
,55,SFSalmon
,65,SFSalmon
,60,SFSalmon
,58,SFSalmon
,54,SFSalmon
,61,SFSalmon
,62,SFSalmon
,58,SFSalmon
,63,SFSalmon
,66,SFSalmon
,56,SFSalmon
,59,SFSalmon
,63,SFSalmon
,57,SFSalmon
,62,SFSalmon
,53,SFSalmon
,64,SFSalmon
,58,SFSalmon
,70,SFSalmon
,60,SFSalmon
,56,SFSalmon
,54,SFSalmon
,61,SFSalmon
,57,SFSalmon
,57,SFSalmon
,69,SFSalmon
,56,SFSalmon
,66,SFSalmon
,56,SFSalmon
,62,SFSalmon
,60,SFSalmon
,59,SFSalmon
,62,SFSalmon
,61,SFSalmon
,62,SFSalmon
,56,SFSalmon
,58,SFSalmon
,61,SFSalmon
,61,SFSalmon
,58,SFSalmon
,57,SFSalmon
,57,SFSalmon
,56,SFSalmon
,60,SFSalmon
,55,SFSalmon
,57,SFSalmon
,66,SFSalmon
,56,SFSalmon
,64,SFSalmon
,61,SFSalmon
,56,SFSalmon
,54,SFSalmon
,55,SFSalmon
,63,SFSalmon
,55,SFSalmon
,60,SFSalmon
,57,SFSalmon
,56,SFSalmon
,54,SFSalmon
,55,SFSalmon
,71,SFSalmon
,56,SFSalmon
,60,SFSalmon
,58,SFSalmon
,56,SFSalmon
,60,SFSalmon
,62,SFSalmon
,67,SFSalmon
,59,SFSalmon
,61,SFSalmon
,65,SFSalmon
,60,SFSalmon
,57,SFSalmon
,56,SFSalmon
,70,SFSalmon
,58,SFSalmon
,60,SFSalmon
,65,SFSalmon
,59,SFSalmon
,62,SFSalmon
,60,SFSalmon
,55,SFSalmon
,65,SFSalmon
,66,SFSalmon
,55,SFSalmon
,55,SFSalmon
,65,SFSalmon
,55,SFSalmon
,62,SFSalmon
,67,SFSalmon
,57,SFSalmon
,64,SFSalmon
,55,SFSalmon
,56,SFSalmon
,55,SFSalmon
,62,SFSalmon
,57,SFSalmon
,58,SFSalmon
,66,SFSalmon
,66,SFSalmon
,55,SFSalmon
,71,SFSalmon
,64,SFSalmon
,61,SFSalmon
,59,SFSalmon
,62,SFSalmon
,60,SFSalmon
,65,SFSalmon
,55,SFSalmon
,77,SFSalmon
,71,SFSalmon
,59,SFSalmon
,66,SFSalmon
,72,SFSalmon
,75,SFSalmon
,58,SFSalmon
,57,SFSalmon
,62,SFSalmon
,76,SFSalmon
,59,SFSalmon
,62,SFSalmon
,57,SFSalmon
,60,SFSalmon
,67,SFSalmon
,75,SFSalmon
,66,SFSalmon
,69,SFSalmon
,57,SFSalmon
,58,SFSalmon
,61,SFSalmon
,63,SFSalmon
,64,SFSalmon
,74,SFSalmon
,68,SFSalmon
,62,SFSalmon
,78,SFSalmon
,62,SFSalmon
,60,SFSalmon
,60,SFSalmon
,56,SFSalmon
,69,SFSalmon
,65,SFSalmon
,56,SFSalmon
,62,SFSalmon
,66,SFSalmon
,58,SFSalmon
,63,SFSalmon
,67,SFSalmon
,74,SFSalmon
,59,SFSalmon
,62,SFSalmon
,61,SFSalmon
,74,SFSalmon
,66,SFSalmon
,75,SFSalmon
,61,SFSalmon
,68,SFSalmon
,70,SFSalmon
,62,SFSalmon
,62,SFSalmon
,58,SFSalmon
,71,SFSalmon
,79,SFSalmon
,65,SFSalmon
,66,SFSalmon
,65,SFSalmon
,69,SFSalmon
,64,SFSalmon
,61,SFSalmon
,73,SFSalmon
